Ticker,ROC,Earnings Yield,P/E Ratio,Ranking
AAPL,56.7695091062598,51455746020.6402,36.1523994090648,8.0
NVDA,61.845472530264814,25936215557.923584,108.59290128653763,11.0
GOOGL,26.834342968014024,45520690020.10795,15.042597680202723,23.5
GOOG,26.834342968014024,45171707624.44865,14.495581920344739,24.5
MSFT,29.652694532968194,19863123993.558777,47.20006118089026,27.0
PM,30.77002132524858,11779285925.051638,20.229376065531806,31.0
V,32.16717852850848,8167947558.770344,24.190492690733514,35.0
CSCO,22.31971988716102,34377729257.64192,14.629310811638785,38.0
HD,40.111895808493074,6486991604.615978,22.073774592447993,41.0
LOW,44.45037556716361,5388989044.515324,15.955527735003885,43.0
KO,19.53137646360546,23096187589.72723,25.20683221612096,46.0
META,24.220010826507743,9032830188.679245,29.706597763568467,47.0
PG,22.461885674655885,11535071833.876614,26.68264503522282,47.0
XOM,17.244960627136248,48343248602.84839,13.820301927935573,47.0
COP,20.194601892480126,15604820577.390055,11.815244198141826,47.0
WMT,15.333408340834085,35094420600.85837,36.24804614552254,52.0
NKE,20.919540229885058,8163124482.473089,17.31408072609073,55.0
MA,54.28505957836847,3196312120.530695,36.643360081750785,56.0
CMCSA,10.936588710359596,65489202879.2322,9.541259124055108,60.0
AMAT,34.05403091150404,3163001550.8808208,30.369146326534423,62.0
ADP,57.18238779042836,1998594009.6289039,28.154950904947246,62.0
CAT,25.70903162205202,4159050481.506471,15.429184186891145,63.0
CVX,13.102182461830896,19645051640.73735,13.0923217745332,63.0
DE,24.549767545181915,4435271184.497191,9.456013497792643,64.0
TXN,26.770704147719442,3882394084.7322145,27.99417418086636,65.0
MCD,24.109414500139994,4834024896.26556,20.91890767368222,65.0
ORCL,13.940163754660428,10843758885.413704,37.03968475190982,66.0
PEP,17.772484313269814,7557751698.57937,24.529259818205862,66.0
AMZN,11.224813121836572,20436941908.297382,68.18246771441906,69.0
ACN,27.64106149466184,3082217338.7908473,27.169972546251163,69.0
UNH,18.525643227645908,6575359167.665766,20.237284936358517,70.0
UPS,17.596510031778266,6969019958.296098,14.601027802218248,70.0
T,7.459830923235552,141234042553.1915,9.361055089777777,70.0
JNJ,13.056169398726873,10767766065.963957,10.067485091207011,71.0
ADBE,32.10702341137124,1221158262.958906,46.23678481945468,78.0
VZ,6.88342425206096,54506053268.76514,14.968316426933011,78.0
QCOM,19.64889404037477,3928640401.6994977,31.961548672566373,79.0
LMT,25.377966722036092,1958288072.995872,15.82700309248555,82.0
ABT,12.296835261819346,7183195592.286502,30.895682041111307,84.0
UNP,15.433850320833198,4316439715.032916,21.21223602626117,85.0
KLAC,39.55781079750598,467039661.6756201,34.77617449060115,86.0
LRCX,36.27986414760846,475994067.68235135,32.24520604504924,86.0
BKNG,57.91863421721758,160352786.18622845,31.46326712520401,86.0
HON,18.433908714465176,3762583095.916429,24.238205767126193,86.0
MMC,19.84770674694528,2645892351.2747874,27.784596166134186,88.0
NEE,7.097093482070008,14714364947.310036,20.269864167135434,88.0
ANET,28.08501717015876,617156254.2720437,54.908909638718725,90.0
AVGO,25.542349058909803,964570676.9129585,57.29548397102684,91.0
COST,24.418965858066702,975023961.2110277,62.48754797279085,93.0
TMUS,7.675337609903937,8005585032.113934,25.29821281712156,94.0
GE,10.082108247376727,6932507815.852387,18.833850556928592,94.0
IBM,10.183051652013964,5834655485.040798,21.60957862594508,95.0
ABNB,20.43010752688172,1433256805.5100033,14.045633347245408,95.0
AMGN,13.623320890784896,3396536988.382767,25.229296319380676,97.0
TSLA,13.007576730448184,3861167232.112225,55.77857206625508,98.0
VRTX,23.061805367308214,910286219.8810674,34.6477990888717,99.0
PFE,1.828132082123252,11785714285.714287,74.12830607161868,100.0
MDT,7.015860187897767,7226847034.33923,26.81744121593036,101.0
ABBV,8.747806338391658,5042546861.053257,61.02291701287272,102.0
UBER,10.100871943922037,4141895681.4357824,78.9743330153683,105.0
KKR,3.433959344338434,8998465618.48835,25.103255498669572,105.0
NFLX,17.441108132390944,1014087409.2221541,54.63879301812318,109.0
LLY,19.177078481522944,755013404.8257372,160.2220546217846,110.0
DIS,3.8649392341206146,6946934569.809378,75.1597417162277,110.0
RTX,4.768565173576119,5428740975.175551,42.07410257206886,113.0
LIN,12.90595139336959,1948283858.9981449,33.438415744474916,114.0
ETN,12.96398891966759,1248156631.4204135,39.60521420758235,117.0
SYK,12.20968397361758,1163989629.5854814,40.39033076433491,123.0
INTU,13.493122134222594,497678423.17271924,76.26802220778522,124.0
BSX,7.4495911002218325,2940792053.3263626,70.61109187173886,124.0
CRM,8.196250956388676,2376500415.9568987,59.140394100580274,124.0
REGN,14.405802379218258,405330019.06966597,28.89064877832861,124.0
INTC,1.002941554192479,4741254697.889563,87.17888065477798,125.0
TMO,9.057534764029558,1442672883.8416123,33.86479929274395,126.0
PLD,4.548617524327336,3567414591.524683,34.637276809533425,127.0
ADI,8.493849793129534,1669171156.4156718,34.73361302111671,128.0
DHR,6.9934657674443015,2222778264.3146086,37.281555410377834,132.0
ISRG,12.818875700148011,399457381.86751074,87.25609383937709,134.0
MRK,3.7477926921129647,2407965725.1666136,874.6174531050959,137.0
NOW,10.297345839153861,138707813.06702867,88.27629221259389,144.0
SPGI,7.353481198589893,870084727.3517271,54.84686595582635,144.0
BLK,6.105549679841929,928229545.7944857,21.668267539076698,147.0
PANW,8.675853095984387,174549348.56326967,247.56671366841027,148.0
CRWD,3.7620646600194827,38502384.16087903,997.3819240211806,166.0
BA,1.1023430860750274,247762497.2713381,-50.62471198185419,166.0
AMD,0.9771880515066343,337662337.66233766,335.1856016786885,167.0
MU,-8.858780614903596,-4018606069.8490167,-24.92941354483799,174.0
